task_uid,filename,book,chapter,verse,duration_seconds,speaker_id,lens_ratio_z,lead_silence_ms,trail_silence_ms,is_first_verse,heading_before,heading_after,is_verse_range
00000,HEB_007_Verse_009.wav,Hebrews,007,009,12.65,SPEAKER_01,0.2022408355142349,340,290,False,False,False,False
00001,GEN_006_Verse_018.wav,Genesis,006,018,8.56,SPEAKER_01,-0.1041325570460963,350,100,False,False,False,False
00002,EZK_028_Verse_022.wav,Ezekiel,028,022,16.98,SPEAKER_01,0.0742993067810403,270,210,False,False,False,False
00003,2SA_003_Verse_020.wav,2 Samuel,003,020,8.42,SPEAKER_01,-0.0273494200787637,340,250,False,False,False,False
00004,2CO_001_Verse_014.wav,2 Corinthians,001,014,10.44,SPEAKER_00,-0.1331301513842004,290,290,False,False,False,False
00005,PSA_114_Verse_001.wav,Psalms,114,001,7.44,SPEAKER_00,-0.117964860710205,460,310,True,False,False,False
00006,HEB_010_Verse_029.wav,Hebrews,010,029,17.14,SPEAKER_01,-0.0949413552692861,420,340,False,False,False,False
00007,2PE_002_Verse_018.wav,2 Peter,002,018,18.42,SPEAKER_00,-0.178537523810747,340,290,False,False,False,False
00008,JDG_008_Verse_007.wav,Judges,008,007,10.19,SPEAKER_01,-0.099070735777709,290,200,False,False,False,False
00009,EPH_002_Verse_016.wav,Ephesians,002,016,7.98,SPEAKER_00,0.2090753188867349,350,120,False,False,False,False
00010,JER_005_Verse_022.wav,Jeremiah,005,022,19.91,SPEAKER_01,-0.080488275895344,420,180,False,False,False,False
00011,EZK_033_Verse_019.wav,Ezekiel,033,019,8.12,SPEAKER_01,-0.1014587528928431,300,180,False,False,False,False
00012,ACT_017_Verse_026.wav,Acts,017,026,11.99,SPEAKER_01,-0.2242309269297451,200,110,False,False,False,False
00013,1SA_022_Verse_005.wav,1 Samuel,022,005,10.84,SPEAKER_01,0.1672020756890243,320,320,False,False,True,False
00014,MAT_004_Verse_008.wav,Matthew,004,008,9.04,SPEAKER_01,-0.0062956323474929,500,100,False,False,False,False
00015,LEV_022_Verse_019.wav,Leviticus,022,019,6.24,SPEAKER_01,0.141563958743749,270,190,False,False,False,False
00016,2SA_001_Verse_020.wav,2 Samuel,001,020,11.38,SPEAKER_01,0.0105155914330595,450,190,False,False,False,False
00017,GEN_038_Verse_014.wav,Genesis,038,014,15.91,SPEAKER_01,-0.2261782865756081,340,120,False,False,False,False
00018,JOS_003_Verse_010.wav,Joshua,003,010,17.84,SPEAKER_01,-0.1120324329534363,180,300,False,False,False,False
00019,1CH_006_Verse_076.wav,1 Chronicles,006,076,10.1,SPEAKER_01,0.0048002047531314,290,160,False,False,False,False
00020,PSA_074_Verse_015.wav,Psalms,074,015,5.89,SPEAKER_00,0.1837788544560526,360,310,False,False,False,False
00021,EZK_016_Verse_023.wav,Ezekiel,016,023,5.94,SPEAKER_01,0.0447881806034831,230,230,False,False,False,False
