task_uid,filename,book,chapter,verse,duration_seconds,speaker_id,lens_ratio_z,lead_silence_ms,trail_silence_ms,is_first_verse,heading_before,heading_after,is_verse_range
00000,JER_025_Verse_019.wav,Jeremiah,025,019,9.33,SPEAKER_00,-0.2271173666218754,370,340,False,False,False,False
00001,ISA_021_Verse_002.wav,Isaiah,021,002,21.22,SPEAKER_00,-0.0630485227466045,360,390,False,False,False,False
00002,GAL_002_Verse_006.wav,Galatians,002,006,17.61,SPEAKER_00,0.0045579444212107,790,620,False,False,False,False
00003,2SA_011_Verse_015.wav,2 Samuel,011,015,14.1,SPEAKER_00,0.0591110956575581,410,440,False,False,False,False
00004,1SA_003_Verse_017.wav,1 Samuel,003,017,13.48,SPEAKER_00,-0.2411941762421748,290,250,False,False,False,False
00005,PSA_069_Verse_027.wav,Psalms,069,027,9.01,SPEAKER_00,-0.1043482255058732,660,470,False,False,False,False
00006,JER_030_Verse_023.wav,Jeremiah,030,023,10.79,SPEAKER_00,-0.043995508299653,330,270,False,False,False,False
00007,2KI_021_Verse_010.wav,2 Kings,021,010,5.73,SPEAKER_00,-0.0023265703253238,360,310,False,False,False,False
00008,JHN_001_Verse_033.wav,John,001,033,19.96,SPEAKER_00,0.0858993539474955,640,300,False,False,False,False
00009,DEU_028_Verse_007.wav,Deuteronomy,028,007,17.66,SPEAKER_00,0.0628412501286898,550,140,False,False,False,False
00010,JOB_015_Verse_013.wav,Job,015,013,6.72,SPEAKER_00,-0.0176641086653873,330,390,False,False,False,False
00011,GEN_038_Verse_025.wav,Genesis,038,025,21.14,SPEAKER_00,0.2064620220814801,890,430,False,False,False,False
00012,2SA_012_Verse_013.wav,2 Samuel,012,013,12.52,SPEAKER_00,0.1388325374839288,400,240,False,False,False,False
00013,1SA_002_Verse_014.wav,1 Samuel,002,014,17.6,SPEAKER_00,0.2411056057323171,330,460,False,False,False,False
00014,NEH_011_Verse_014.wav,Nehemiah,011,014,14.09,SPEAKER_00,0.0542674622398214,320,180,False,False,False,False
00015,LUK_024_Verse_006.wav,Luke,024,006,8.46,SPEAKER_00,-0.2234898609911335,230,600,False,False,False,False
00016,2SA_005_Verse_020.wav,2 Samuel,005,020,18.52,SPEAKER_00,-0.1380350900473801,320,650,False,False,False,False
00017,JER_004_Verse_030.wav,Jeremiah,004,030,23.1,SPEAKER_00,-0.1523598782402627,380,260,False,False,False,False
00018,LUK_005_Verse_013.wav,Luke,005,013,13.38,SPEAKER_00,0.0027355728706575,390,1090,False,False,False,False
00019,1CH_014_Verse_001.wav,1 Chronicles,014,001,17.22,SPEAKER_00,0.0493668448995211,1650,770,True,True,False,False
00020,PSA_033_Verse_006.wav,Psalms,033,006,9.1,SPEAKER_00,-0.1109425558564912,240,430,False,False,False,False
00021,EPH_001_Verse_018.wav,Ephesians,001,018,17.64,SPEAKER_00,0.0551025714497757,920,370,False,False,False,False
00022,LEV_014_Verse_010.wav,Leviticus,014,010,28.02,SPEAKER_00,-0.151153580287179,680,150,False,False,False,False
00023,PSA_132_Verse_009.wav,Psalms,132,009,8.36,SPEAKER_00,-0.1486522860021054,340,430,False,False,False,False
00024,NUM_010_Verse_028.wav,Numbers,010,028,10.99,SPEAKER_00,-0.1639987686469812,370,410,False,False,False,False
00025,JHN_012_Verse_011.wav,John,012,011,7.53,SPEAKER_00,0.0805147190035076,440,780,False,False,True,False
00026,JER_046_Verse_011.wav,Jeremiah,046,011,12.96,SPEAKER_00,-0.0064469194383316,570,360,False,False,False,False
00027,GEN_022_Verse_012.wav,Genesis,022,012,16.06,SPEAKER_00,0.1166176733050934,460,570,False,False,False,False
00028,HOS_006_Verse_001.wav,Hosea,006,001,12.24,SPEAKER_00,0.0401368622690663,1260,200,True,True,False,False
00029,NUM_030_Verse_012.wav,Numbers,030,012,22.32,SPEAKER_00,-0.1504667344262262,240,290,False,False,False,False
00030,PSA_078_Verse_028.wav,Psalms,078,028,7.36,SPEAKER_00,-0.1634377144427599,590,240,False,False,False,False
00031,LUK_013_Verse_014.wav,Luke,013,014,21.14,SPEAKER_00,0.0071227636405081,1230,610,False,False,False,False
00032,JOB_017_Verse_016.wav,Job,017,016,9.94,SPEAKER_00,-0.1444174214204474,220,100,False,False,False,False
00033,PSA_065_Verse_008.wav,Psalms,065,008,14.81,SPEAKER_00,-0.0784285888420915,340,430,False,False,False,False
00034,ACT_008_Verse_032.wav,Acts,008,032,18.84,SPEAKER_00,0.1989909706225535,840,780,False,False,False,False
00035,PSA_141_Verse_007.wav,Psalms,141,007,11.2,SPEAKER_00,-0.0377615726971946,420,560,False,False,False,False
00036,PSA_109_Verse_004.wav,Psalms,109,004,7.42,SPEAKER_00,-0.0195652201278551,340,300,False,False,False,False
00037,1KI_001_Verse_038.wav,1 Kings,001,038,19.5,SPEAKER_00,0.0674360905942953,570,270,False,False,False,False
00038,JER_036_Verse_015.wav,Jeremiah,036,015,8.28,SPEAKER_00,0.1978811930757419,170,400,False,False,False,False
00039,LUK_017_Verse_028.wav,Luke,017,028,11.02,SPEAKER_00,0.0993850105568958,550,570,False,False,False,False
00040,1SA_014_Verse_024.wav,1 Samuel,014,024,24.04,SPEAKER_00,-0.0265404886127684,470,270,False,True,False,False
00041,LEV_027_Verse_005.wav,Leviticus,027,005,14.36,SPEAKER_00,-0.0095126896874514,640,460,False,False,False,False
00042,2CH_018_Verse_015.wav,2 Chronicles,018,015,12.38,SPEAKER_00,0.2338075211107525,470,490,False,False,False,False
00043,2KI_015_Verse_010.wav,2 Kings,015,010,11.74,SPEAKER_00,-0.238071834039005,530,270,False,False,False,False
00044,DEU_009_Verse_025.wav,Deuteronomy,009,025,12.45,SPEAKER_00,-0.0646921744998158,330,450,False,False,False,False
00045,DEU_012_Verse_015.wav,Deuteronomy,012,015,23.56,SPEAKER_00,-0.020571826865734,530,780,False,False,False,False
00046,ECC_012_Verse_002.wav,Ecclesiastes,012,002,10.2,SPEAKER_00,-0.2301230141444891,240,280,False,False,False,False
00047,1CH_023_Verse_019.wav,1 Chronicles,023,019,12.65,SPEAKER_00,0.1538179116710468,120,260,False,False,False,False
00048,2CO_013_Verse_004.wav,2 Corinthians,013,004,22.48,SPEAKER_00,0.2365315938109864,390,490,False,False,False,False
00049,NUM_003_Verse_045.wav,Numbers,003,045,16.04,SPEAKER_00,-0.1042568857900869,350,340,False,False,False,False
