task_uid,filename,book,chapter,verse,duration_seconds,speaker_id,lens_ratio_z,is_first_verse,heading_before,heading_after,is_verse_range
00000,LAM_005_Verse_010.wav,Lamentations,005,010,7.81,SPEAKER_01,0.0692342404909335,False,False,False,False
00001,JOS_006_Verse_011.wav,Joshua,006,011,18.96,SPEAKER_00,-0.2161251462918159,False,False,False,False
00002,JHN_005_Verse_034.wav,John,005,034,9.51,SPEAKER_00,0.06754892145427,False,False,False,False
00003,EZK_042_Verse_012.wav,Ezekiel,042,012,13.46,SPEAKER_01,-0.0688729148300114,False,False,False,False
00004,2KI_018_Verse_003.wav,2 Kings,018,003,10.18,SPEAKER_00,0.1920444300567692,False,False,False,False
00005,PSA_136_Verse_018.wav,Psalms,136,018,6.2,SPEAKER_01,-0.0567870247296321,False,False,False,False
00006,LUK_002_Verse_025.wav,Luke,002,025,18.67,SPEAKER_00,-0.2166056795661609,False,False,False,False
00007,EXO_009_Verse_026.wav,Exodus,009,026,7.84,SPEAKER_01,0.1933800679243286,False,False,False,False
00008,LUK_016_Verse_024.wav,Luke,016,024,25.02,SPEAKER_00,0.0952187306699713,False,False,False,False
00009,JER_017_Verse_019.wav,Jeremiah,017,019,16.45,SPEAKER_01,-0.0501539025378282,False,True,False,False
00010,MAT_006_Verse_008.wav,Matthew,006,008,11.9,SPEAKER_00,-0.1790782967690312,False,False,False,False
00011,JHN_008_Verse_053.wav,John,008,053,12.0,SPEAKER_00,-0.234024049694641,False,False,False,False
00012,EZK_048_Verse_004.wav,Ezekiel,048,004,12.76,SPEAKER_01,0.2126132532171823,False,False,False,False
00013,2CH_009_Verse_008.wav,2 Chronicles,009,008,28.92,SPEAKER_00,-0.06011854775529,False,False,False,False
00014,PSA_029_Verse_011.wav,Psalms,029,011,8.79,SPEAKER_01,0.2221118127497306,False,False,False,False
00015,PRO_016_Verse_005.wav,Proverbs,016,005,7.48,SPEAKER_01,0.1392325868070609,False,False,False,False
00016,EXO_027_Verse_019.wav,Exodus,027,019,21.27,SPEAKER_01,0.0151909972756486,False,False,True,False
00017,JOS_021_Verse_015.wav,Joshua,021,015,6.42,SPEAKER_00,-0.0305961283279206,False,False,False,False
00018,MRK_006_Verse_050.wav,Mark,006,050,14.88,SPEAKER_00,0.1497674028611687,False,False,False,False
00019,1CH_006_Verse_012.wav,1 Chronicles,006,012,6.16,SPEAKER_00,0.1320721002330829,False,False,False,False
00020,PSA_119_Verse_041.wav,Psalms,119,041,9.14,SPEAKER_01,0.0119075315711656,False,True,False,False
00021,JER_049_Verse_022.wav,Jeremiah,049,022,20.14,SPEAKER_01,0.074435203101885,False,False,True,False
00022,MAT_017_Verse_018.wav,Matthew,017,018,11.84,SPEAKER_00,0.2118026592010076,False,False,False,False
00023,REV_022_Verse_003.wav,Revelation,022,003,15.36,SPEAKER_00,-0.1896707922058805,False,False,False,False
00024,PSA_097_Verse_007.wav,Psalms,097,007,13.06,SPEAKER_01,-0.23186345902653,False,False,False,False
00025,LUK_017_Verse_027.wav,Luke,017,027,15.74,SPEAKER_00,0.1257419964261341,False,False,False,False
00026,LUK_009_Verse_043.wav,Luke,009,043,7.78,SPEAKER_00,0.2338006876004646,False,False,True,False
00027,JHN_008_Verse_040.wav,John,008,040,11.03,SPEAKER_00,0.0798508491817889,False,False,False,False
00028,JOB_002_Verse_002.wav,Job,002,002,17.78,SPEAKER_01,0.1773524135136177,False,False,False,False
00029,PSA_107_Verse_003.wav,Psalms,107,003,11.82,SPEAKER_01,0.1991371276982909,False,False,False,False
00030,REV_012_Verse_009.wav,Revelation,012,009,18.04,SPEAKER_00,0.158863583706504,False,False,False,False
00031,MRK_016_Verse_003.wav,Mark,016,003,13.41,SPEAKER_00,-0.1991437226497477,False,False,False,False
00032,MAT_007_Verse_022.wav,Matthew,007,022,22.7,SPEAKER_00,0.2252669179156082,False,False,False,False
00033,PSA_119_Verse_055.wav,Psalms,119,055,7.57,SPEAKER_01,-0.0642072351049605,False,False,False,False
00034,HAB_002_Verse_016.wav,Habakkuk,002,016,18.58,SPEAKER_01,-0.1773985692679102,False,False,False,False
00035,ROM_010_Verse_012.wav,Romans,010,012,12.95,SPEAKER_00,0.1459023156009317,False,False,False,False
00036,REV_021_Verse_017.wav,Revelation,021,017,15.4,SPEAKER_00,-0.0343633120569337,False,False,False,False
00037,1SA_020_Verse_042.wav,1 Samuel,020,042,29.64,SPEAKER_00,0.1705095564935189,False,False,False,False
