task_uid,filename,book,chapter,verse,duration_seconds,speaker_id,lens_ratio_z,lead_silence_ms,trail_silence_ms,is_first_verse,heading_before,heading_after,is_verse_range
00000,ISA_007_Verse_009.wav,Isaiah,007,009,15.7,SPEAKER_01,0.2296544450484323,190,680,False,False,True,False
00001,GEN_026_Verse_022.wav,Genesis,026,022,18.1,SPEAKER_01,-0.172600914500846,810,160,False,False,False,False
00002,EZK_013_Verse_020.wav,Ezekiel,013,020,22.9,SPEAKER_01,-0.0867761036837167,470,200,False,False,False,False
00003,DEU_011_Verse_019.wav,Deuteronomy,011,019,14.53,SPEAKER_01,0.0598844757672964,420,250,False,False,False,False
00004,2CH_007_Verse_017.wav,2 Chronicles,007,017,13.44,SPEAKER_01,-0.1400150237627921,570,320,False,False,False,False
00005,PSA_023_Verse_003.wav,Psalms,023,003,7.84,SPEAKER_01,-0.0187564400990455,390,460,False,False,False,False
00006,ISA_014_Verse_017.wav,Isaiah,014,017,10.92,SPEAKER_01,-0.1719682991876981,540,390,False,False,False,False
00007,ACT_020_Verse_003.wav,Acts,020,003,20.58,SPEAKER_00,0.0794660141186792,600,700,False,False,False,False
00008,JER_051_Verse_061.wav,Jeremiah,051,061,10.7,SPEAKER_01,-0.122030739776949,500,250,False,False,False,False
00009,EXO_033_Verse_018.wav,Exodus,033,018,6.78,SPEAKER_01,-0.1804031700296753,880,390,False,False,False,False
00010,JOB_008_Verse_009.wav,Job,008,009,10.32,SPEAKER_01,0.1007870292271661,440,360,False,False,False,False
00011,EZK_028_Verse_015.wav,Ezekiel,028,015,11.98,SPEAKER_01,-0.126754603087639,140,470,False,False,False,False
00012,DEU_022_Verse_021.wav,Deuteronomy,022,021,22.16,SPEAKER_01,-0.1324750289240059,250,530,False,False,False,False
00013,1SA_016_Verse_021.wav,1 Samuel,016,021,12.38,SPEAKER_01,0.0503389442983444,410,410,False,False,False,False
00014,MRK_015_Verse_042.wav,Mark,015,042,6.23,SPEAKER_00,-0.1353234714186577,530,270,False,False,False,False
00015,MRK_006_Verse_034.wav,Mark,006,034,16.78,SPEAKER_00,-0.0641124090523529,410,370,False,False,False,False
00016,DEU_005_Verse_018.wav,Deuteronomy,005,018,1.44,SPEAKER_01,0.1495207780465615,230,250,False,False,False,False
00017,HEB_010_Verse_014.wav,Hebrews,010,014,7.38,SPEAKER_02,0.2275119359283063,200,470,False,False,False,False
00018,LUK_023_Verse_028.wav,Luke,023,028,14.6,SPEAKER_00,-0.1043975243338631,780,790,False,False,False,False
00019,1CO_016_Verse_003.wav,1 Corinthians,016,003,13.98,SPEAKER_02,-0.166776695584959,310,490,False,False,False,False
00020,PRO_019_Verse_028.wav,Proverbs,019,028,7.99,SPEAKER_01,0.1192834654110232,300,550,False,False,False,False
00021,EZK_008_Verse_012.wav,Ezekiel,008,012,22.55,SPEAKER_01,-0.1652756527598051,470,210,False,False,False,False
00022,JOB_034_Verse_029.wav,Job,034,029,8.8,SPEAKER_01,0.1977767450147883,360,350,False,False,False,False
00023,ROM_013_Verse_006.wav,Romans,013,006,7.38,SPEAKER_02,-0.1704162829527736,480,360,False,False,False,False
00024,NEH_013_Verse_014.wav,Nehemiah,013,014,13.93,SPEAKER_01,0.2283418584209671,560,390,False,False,False,False
00025,JER_051_Verse_062.wav,Jeremiah,051,062,11.71,SPEAKER_01,0.0125008718382926,260,460,False,False,False,False
00026,JER_007_Verse_009.wav,Jeremiah,007,009,16.62,SPEAKER_01,-0.2160181717377464,530,230,False,False,False,False
00027,EZK_027_Verse_034.wav,Ezekiel,027,034,12.06,SPEAKER_01,-0.0792962554081436,280,400,False,False,False,False
00028,EZK_040_Verse_039.wav,Ezekiel,040,039,20.66,SPEAKER_01,0.0359181891421972,620,480,False,False,False,False
00029,PRO_013_Verse_017.wav,Proverbs,013,017,7.9,SPEAKER_01,0.2277779876364803,390,490,False,False,False,False
00030,PSA_026_Verse_011.wav,Psalms,026,011,6.51,SPEAKER_01,0.183702087982388,530,480,False,False,False,False
00031,LUK_024_Verse_052.wav,Luke,024,052,6.59,SPEAKER_00,-0.1734160755262467,350,680,False,False,False,False
00032,JOB_012_Verse_008.wav,Job,012,008,8.2,SPEAKER_01,0.0330511293763374,150,310,False,False,False,False
00033,PRO_025_Verse_020.wav,Proverbs,025,020,11.88,SPEAKER_01,0.1176967998304477,560,370,False,False,False,False
00034,ECC_007_Verse_019.wav,Ecclesiastes,007,019,9.38,SPEAKER_01,-0.220064635634561,410,230,False,False,False,False
00035,RUT_002_Verse_018.wav,Ruth,002,018,16.34,SPEAKER_01,0.1430714742850851,370,140,False,False,False,False
00036,PSA_068_Verse_021.wav,Psalms,068,021,10.54,SPEAKER_01,0.183702087982387,350,540,False,False,False,False
00037,1SA_007_Verse_012.wav,1 Samuel,007,012,14.66,SPEAKER_01,-0.2182701168629303,310,490,False,False,False,False
00038,ISA_065_Verse_023.wav,Isaiah,065,023,11.28,SPEAKER_01,0.1271475569976564,590,370,False,False,False,False
00039,MIC_001_Verse_009.wav,Micah,001,009,11.64,SPEAKER_02,0.1604103989110728,580,670,False,False,False,False
