task_uid,filename,book,chapter,verse,duration_seconds,speaker_id,lens_ratio_z,lead_silence_ms,trail_silence_ms,is_first_verse,heading_before,heading_after,is_verse_range
00000,GEN_014_Verse_010.wav,Genesis,014,010,18.18,SPEAKER_00,-0.1058944722134767,380,360,False,False,False,False
00001,EZK_046_Verse_022.wav,Ezekiel,046,022,8.16,SPEAKER_01,-0.0049790511371696,190,380,False,False,False,False
00002,EZK_016_Verse_012.wav,Ezekiel,016,012,5.68,SPEAKER_01,-0.0511573108801744,340,370,False,False,False,False
00003,COL_003_Verse_024.wav,Colossians,003,024,7.53,SPEAKER_01,0.0001325483976353,310,400,False,False,False,False
00004,2CH_020_Verse_021.wav,2 Chronicles,020,021,14.88,SPEAKER_01,0.0515397391617838,340,490,False,False,False,False
00005,PSA_106_Verse_007.wav,Psalms,106,007,13.08,SPEAKER_00,-0.1029497083659067,490,470,False,False,False,False
00006,GEN_024_Verse_024.wav,Genesis,024,024,6.03,SPEAKER_00,0.1861723028951697,380,450,False,False,False,False
00007,ACT_010_Verse_041.wav,Acts,010,041,11.11,SPEAKER_01,-0.1022466657873804,220,480,False,False,False,False
00008,ISA_003_Verse_017.wav,Isaiah,003,017,9.03,SPEAKER_02,-0.119596006477016,230,290,False,False,False,False
00009,DEU_029_Verse_012.wav,Deuteronomy,029,012,8.71,SPEAKER_00,-0.0843330580537883,480,440,False,False,False,False
00010,JER_001_Verse_012.wav,Jeremiah,001,012,6.91,SPEAKER_02,0.1283606738707544,210,270,False,False,False,False
00011,EZK_033_Verse_007.wav,Ezekiel,033,007,8.42,SPEAKER_01,0.1641932273444123,420,360,False,False,False,False
00012,DAN_011_Verse_023.wav,Daniel,011,023,8.36,SPEAKER_01,0.1970508352384728,650,290,False,False,False,False
00013,1KI_020_Verse_034.wav,1 Kings,020,034,20.64,SPEAKER_01,-0.0893045689287429,380,480,False,False,True,False
00014,LEV_009_Verse_001.wav,Leviticus,009,001,6.68,SPEAKER_00,0.0714048511089629,730,500,True,True,False,False
00015,LEV_003_Verse_011.wav,Leviticus,003,011,5.71,SPEAKER_00,-0.1366141489788007,480,460,False,False,False,False
00016,AMO_007_Verse_002.wav,Amos,007,002,15.35,SPEAKER_01,-0.0868543208788792,420,240,False,False,False,False
00017,GEN_005_Verse_013.wav,Genesis,005,013,8.3,SPEAKER_00,0.1364418693257813,200,230,False,False,False,False
00018,JHN_012_Verse_038.wav,John,012,038,12.7,SPEAKER_01,-0.0006498392862644,570,360,False,False,False,False
00019,1CH_006_Verse_039.wav,1 Chronicles,006,039,8.46,SPEAKER_01,-0.1517165475573733,630,500,False,False,False,False
