task_uid,filename,book,chapter,verse,duration_seconds,speaker_id,lens_ratio_z,lead_silence_ms,trail_silence_ms,is_first_verse,heading_before,heading_after,is_verse_range
00000,HAG_002_Verse_011.wav,Haggai,002,011,8.18,SPEAKER_00,-0.1307241353963831,350,320,False,False,False,False
00001,GEN_006_Verse_018.wav,Genesis,006,018,15.08,SPEAKER_00,-0.0399797583569865,1020,460,False,False,False,False
00002,EXO_036_Verse_007.wav,Exodus,036,007,10.06,SPEAKER_00,0.0915446825114448,360,870,False,False,False,False
00003,ACT_001_Verse_006.wav,Acts,001,006,13.69,SPEAKER_00,0.2080599797372394,650,510,False,False,False,False
00004,1SA_002_Verse_024.wav,1 Samuel,002,024,6.36,SPEAKER_00,0.1972134647954941,490,440,False,False,False,False
00005,REV_018_Verse_017.wav,Revelation,018,017,18.22,SPEAKER_00,-0.1711514522170577,260,320,False,False,False,False
00006,ISA_055_Verse_005.wav,Isaiah,055,005,18.41,SPEAKER_00,0.1272534434212265,650,650,False,False,False,False
00007,2SA_010_Verse_006.wav,2 Samuel,010,006,22.8,SPEAKER_00,0.2012809078986491,450,460,False,False,False,False
00008,JER_032_Verse_010.wav,Jeremiah,032,010,9.28,SPEAKER_00,-0.0554199457226937,460,450,False,False,False,False
00009,ECC_008_Verse_016.wav,Ecclesiastes,008,016,14.63,SPEAKER_00,-0.1256789415472768,690,420,False,False,False,False
00010,JHN_003_Verse_033.wav,John,003,033,6.42,SPEAKER_00,0.1312675430082743,580,490,False,False,False,False
00011,EZK_008_Verse_014.wav,Ezekiel,008,014,12.36,SPEAKER_00,-0.2127981358815624,870,540,False,False,False,False
00012,ACT_015_Verse_002.wav,Acts,015,002,21.16,SPEAKER_00,0.2262169912446237,770,660,False,False,False,False
00013,1PE_002_Verse_019.wav,1 Peter,002,019,9.44,SPEAKER_00,-0.0993561910302032,120,500,False,False,False,False
00014,MAT_027_Verse_043.wav,Matthew,027,043,11.16,SPEAKER_00,-0.0359866064520629,140,1580,False,False,False,False
