task_uid,filename,book,chapter,verse,duration_seconds,speaker_id,lens_ratio_z,lead_silence_ms,trail_silence_ms,is_first_verse,heading_before,heading_after,is_verse_range
00000,JHN_006_Verse_004.wav,John,006,004,3.88,SPEAKER_01,0.0169613996904213,130,490,False,False,False,False
00001,JER_019_Verse_004.wav,Jeremiah,019,004,17.44,SPEAKER_01,-0.2057366324299605,600,340,False,False,False,False
00002,ISA_016_Verse_007.wav,Isaiah,016,007,11.01,SPEAKER_00,0.0492538103630869,710,190,False,False,False,False
00003,EST_008_Verse_001.wav,Esther,008,001,13.79,SPEAKER_01,-0.2157611283356574,690,230,True,True,False,False
00004,ACT_011_Verse_014.wav,Acts,011,014,5.35,SPEAKER_01,-0.0184456339252092,300,460,False,False,False,False
00005,PSA_103_Verse_006.wav,Psalms,103,006,6.23,SPEAKER_01,-0.0343177524425604,400,280,False,False,False,False
00006,JOB_005_Verse_012.wav,Job,005,012,6.42,SPEAKER_00,0.2241710348400261,600,120,False,False,False,False
00007,EPH_001_Verse_010.wav,Ephesians,001,010,12.22,SPEAKER_00,0.0051689814298764,630,480,False,False,False,False
00008,JOB_037_Verse_007.wav,Job,037,007,6.06,SPEAKER_00,-0.0645134901097187,590,210,False,False,False,False
00009,GEN_040_Verse_007.wav,Genesis,040,007,11.18,SPEAKER_01,-0.1594273925205117,500,100,False,False,False,False
00010,LEV_004_Verse_011.wav,Leviticus,004,011,7.67,SPEAKER_00,0.1684053454523286,220,100,False,False,False,False
00011,ISA_046_Verse_001.wav,Isaiah,046,001,17.52,SPEAKER_00,0.0098540156865789,600,300,True,True,False,False
00012,EXO_001_Verse_011.wav,Exodus,001,011,14.88,SPEAKER_00,-0.1333034767921536,800,290,False,False,False,False
00013,2KI_007_Verse_001.wav,2 Kings,007,001,16.63,SPEAKER_00,-0.1008963734799485,270,240,True,False,False,False
00014,PRO_014_Verse_009.wav,Proverbs,014,009,6.51,SPEAKER_00,0.0412116391227673,590,150,False,False,False,False
00015,NUM_025_Verse_004.wav,Numbers,025,004,12.98,SPEAKER_00,-0.1766318038678059,540,250,False,False,False,False
00016,EPH_002_Verse_007.wav,Ephesians,002,007,11.14,SPEAKER_00,-0.2433350014892462,660,300,False,False,False,False
00017,JER_020_Verse_006.wav,Jeremiah,020,006,13.74,SPEAKER_01,-0.0681100047698266,420,250,False,False,True,False
00018,MAT_006_Verse_005.wav,Matthew,006,005,16.36,SPEAKER_01,0.0269964588162495,570,190,False,True,False,False
00019,1CH_004_Verse_010.wav,1 Chronicles,004,010,17.71,SPEAKER_01,0.065757299904133,440,150,False,False,False,False
00020,PSA_064_Verse_006.wav,Psalms,064,006,11.34,SPEAKER_01,0.1874658096589593,500,320,False,False,False,False
00021,ISA_014_Verse_004.wav,Isaiah,014,004,10.67,SPEAKER_00,0.0169613996904213,390,210,False,False,False,False
00022,LEV_025_Verse_008.wav,Leviticus,025,008,10.38,SPEAKER_00,-0.0370386870455349,660,220,False,True,False,False
00023,TIT_003_Verse_010.wav,Titus,003,010,8.64,SPEAKER_00,0.2277828949324705,310,210,False,False,False,False
00024,PSA_012_Verse_007.wav,Psalms,012,007,6.64,SPEAKER_01,0.2119737417922085,180,220,False,False,False,False
00025,JOS_013_Verse_005.wav,Joshua,013,005,9.94,SPEAKER_01,-0.0956899440429884,140,110,False,False,False,False
00026,JOB_018_Verse_019.wav,Job,018,019,6.88,SPEAKER_00,0.0360716427213472,780,200,False,False,False,False
00027,ISA_045_Verse_004.wav,Isaiah,045,004,12.28,SPEAKER_00,-0.0561180116109725,430,110,False,False,False,False
00028,JDG_020_Verse_007.wav,Judges,020,007,5.21,SPEAKER_01,-0.1241852403858779,370,110,False,False,False,False
00029,PSA_048_Verse_003.wav,Psalms,048,003,7.85,SPEAKER_01,-0.1259903621969867,220,680,False,False,False,False
00030,PSA_109_Verse_009.wav,Psalms,109,009,5.1,SPEAKER_01,0.1888394959655792,440,140,False,False,False,False
00031,MAT_016_Verse_008.wav,Matthew,016,008,9.46,SPEAKER_01,0.1386248509225059,380,150,False,False,False,False
00032,LEV_005_Verse_005.wav,Leviticus,005,005,6.84,SPEAKER_00,-0.0136149891590592,710,230,False,False,False,False
00033,PSA_102_Verse_003.wav,Psalms,102,003,7.33,SPEAKER_01,-0.2162970914830908,410,280,False,False,False,False
00034,EXO_014_Verse_005.wav,Exodus,014,005,16.69,SPEAKER_00,0.0815058151164939,560,160,False,False,False,False
00035,ZEC_010_Verse_004.wav,Zechariah,010,004,12.25,SPEAKER_01,-0.0767708887178875,450,230,False,False,False,False
00036,RUT_003_Verse_006.wav,Ruth,003,006,7.44,SPEAKER_01,0.1658652933477141,430,250,False,False,False,False
00037,2CH_016_Verse_001.wav,2 Chronicles,016,001,17.73,SPEAKER_01,-0.2399426674387841,630,210,True,True,False,False
00038,JOB_008_Verse_014.wav,Job,008,014,6.19,SPEAKER_00,0.0127249120787468,550,130,False,False,False,False
00039,NUM_016_Verse_007.wav,Numbers,016,007,11.22,SPEAKER_00,-0.1295504635466721,380,180,False,False,False,False
00040,COL_004_Verse_001.wav,Colossians,004,001,10.77,SPEAKER_00,0.1574889755558587,1000,520,True,False,True,False
00041,LUK_014_Verse_012.wav,Luke,014,012,20.42,SPEAKER_01,0.1328685626068784,520,160,False,False,False,False
00042,DEU_004_Verse_005.wav,Deuteronomy,004,005,11.65,SPEAKER_00,-0.030071707998429,310,350,False,False,False,False
00043,ECC_010_Verse_013.wav,Ecclesiastes,010,013,6.08,SPEAKER_00,-0.1387295200386342,730,240,False,False,False,False
00044,EXO_019_Verse_012.wav,Exodus,019,012,12.51,SPEAKER_00,0.1022207128753813,640,320,False,False,False,False
00045,GEN_032_Verse_006.wav,Genesis,032,006,11.3,SPEAKER_01,0.2153463820736233,420,330,False,False,False,False
00046,HOS_001_Verse_004.wav,Hosea,001,004,13.32,SPEAKER_01,0.1882546980807617,400,170,False,False,False,False
00047,1TI_006_Verse_007.wav,1 Timothy,006,007,5.79,SPEAKER_00,-0.2390680813164005,580,140,False,False,False,False
00048,DEU_031_Verse_001.wav,Deuteronomy,031,001,6.4,SPEAKER_00,-0.1988106170769336,530,370,True,True,False,False
00049,PRO_019_Verse_012.wav,Proverbs,019,012,6.54,SPEAKER_00,-0.1124299761571697,670,200,False,False,False,False
