task_uid,filename,book,chapter,verse,duration_seconds,speaker_id,lens_ratio_z,lead_silence_ms,trail_silence_ms,is_first_verse,heading_before,heading_after,is_verse_range
00000,JOB_018_Verse_004.wav,Job,018,004,8.62,SPEAKER_00,-0.0768814406319972,230,170,False,False,False,False
00001,JHN_016_Verse_011.wav,John,016,011,5.62,SPEAKER_00,-0.2326473243521877,460,260,False,False,False,False
00002,JER_050_Verse_004.wav,Jeremiah,050,004,14.57,SPEAKER_00,0.0696747719044654,590,190,False,False,False,False
00003,EZK_027_Verse_004.wav,Ezekiel,027,004,8.0,SPEAKER_00,0.1175331210037305,380,220,False,False,False,False
00004,DAN_012_Verse_005.wav,Daniel,012,005,14.62,SPEAKER_00,-0.1770020119442515,440,270,False,False,False,False
00005,PSA_091_Verse_007.wav,Psalms,091,007,11.3,SPEAKER_00,0.2199356009508785,560,510,False,False,False,False
00006,JOB_025_Verse_005.wav,Job,025,005,6.8,SPEAKER_00,-0.0416179312678011,270,270,False,False,False,False
00007,EXO_030_Verse_009.wav,Exodus,030,009,14.46,SPEAKER_00,0.2554484561076565,450,170,False,False,False,False
00008,LUK_003_Verse_005.wav,Luke,003,005,15.46,SPEAKER_00,0.13232459032943,470,210,False,False,False,False
00009,JAS_004_Verse_006.wav,James,004,006,12.38,SPEAKER_00,0.1732591217191554,470,150,False,False,False,False
00010,LUK_011_Verse_009.wav,Luke,011,009,8.96,SPEAKER_00,0.2018575091830837,640,120,False,False,False,False
00011,JHN_014_Verse_009.wav,John,014,009,16.4,SPEAKER_00,0.0424165683152278,490,110,False,False,False,False
00012,GEN_005_Verse_005.wav,Genesis,005,005,5.57,SPEAKER_00,-0.0658138646834565,510,250,False,False,False,False
00013,ACT_006_Verse_006.wav,Acts,006,006,6.47,SPEAKER_00,-0.0966742484129834,490,160,False,False,False,False
00014,PRO_027_Verse_019.wav,Proverbs,027,019,9.93,SPEAKER_00,-0.133585687775751,840,190,False,False,False,False
00015,PRO_020_Verse_006.wav,Proverbs,020,006,9.38,SPEAKER_00,0.2290721671092377,490,160,False,False,False,False
00016,EXO_032_Verse_005.wav,Exodus,032,005,11.39,SPEAKER_00,-0.0256090638940729,400,230,False,False,False,False
00017,JOB_004_Verse_003.wav,Job,004,003,5.38,SPEAKER_00,-0.1913783970864468,410,260,False,False,False,False
00018,NEH_004_Verse_002.wav,Nehemiah,004,002,24.6,SPEAKER_00,0.0979080757067352,220,270,False,False,False,False
00019,2CH_008_Verse_007.wav,2 Chronicles,008,007,11.24,SPEAKER_00,-0.0612980768844347,400,120,False,False,False,False
00020,PSA_071_Verse_005.wav,Psalms,071,005,9.56,SPEAKER_00,0.0729590082202562,350,290,False,False,False,False
00021,JER_011_Verse_006.wav,Jeremiah,011,006,13.46,SPEAKER_00,-0.1625443111634013,830,140,False,False,False,False
00022,MAT_001_Verse_007.wav,Matthew,001,007,7.42,SPEAKER_00,0.1091547362807819,650,190,False,False,False,False
00023,ROM_015_Verse_005.wav,Romans,015,005,10.32,SPEAKER_00,-0.180628629136828,510,120,False,False,False,False
00024,PSA_033_Verse_010.wav,Psalms,033,010,7.98,SPEAKER_00,-0.1503825835852631,400,180,False,False,False,False
00025,LUK_003_Verse_010.wav,Luke,003,010,4.46,SPEAKER_00,0.2485516299321555,630,300,False,False,False,False
00026,LUK_001_Verse_010.wav,Luke,001,010,9.9,SPEAKER_00,0.0449204534048451,730,250,False,False,False,False
00027,JHN_005_Verse_004.wav,John,005,004,15.26,SPEAKER_00,0.0828053234564379,430,300,False,False,False,False
00028,JHN_015_Verse_012.wav,John,015,012,5.8,SPEAKER_00,0.1056294050039133,680,190,False,False,False,False
00029,PSA_055_Verse_007.wav,Psalms,055,007,4.39,SPEAKER_00,0.1325292153991525,620,370,False,False,False,False
00030,PSA_096_Verse_005.wav,Psalms,096,005,8.52,SPEAKER_00,-0.233170613995146,320,360,False,False,False,False
00031,NUM_005_Verse_002.wav,Numbers,005,002,13.71,SPEAKER_00,0.1152639751412661,210,390,False,False,False,False
00032,LUK_018_Verse_006.wav,Luke,018,006,7.03,SPEAKER_00,-0.1828192767916624,720,320,False,False,False,False
00033,PSA_081_Verse_004.wav,Psalms,081,004,6.24,SPEAKER_00,0.0647239082045407,480,180,False,False,False,False
00034,HEB_003_Verse_014.wav,Hebrews,003,014,12.64,SPEAKER_00,-0.0051016064966101,650,180,False,False,False,False
00035,ZEC_004_Verse_007.wav,Zechariah,004,007,19.66,SPEAKER_00,-0.0732463877348523,550,230,False,False,False,False
