task_uid,filename,book,chapter,verse,duration_seconds,speaker_id,lens_ratio_z,lead_silence_ms,trail_silence_ms,is_first_verse,heading_before,heading_after,is_verse_range
00000,JAS_002_Verse_002.wav,James,002,002,9.86,SPEAKER_00,0.1267715296022888,390,180,False,False,False,False
00001,HEB_001_Verse_006.wav,Hebrews,001,006,6.38,SPEAKER_00,0.1198432480205022,310,100,False,False,False,False
00002,GEN_002_Verse_003.wav,Genesis,002,003,8.38,SPEAKER_00,0.1389800444877868,220,220,False,False,True,False
00003,ACT_007_Verse_002.wav,Acts,007,002,12.08,SPEAKER_00,-0.0988713152551831,240,150,False,False,False,False
00004,2CH_017_Verse_004.wav,2 Chronicles,017,004,6.04,SPEAKER_00,0.1452375782807226,200,110,False,False,False,False
00005,PSA_150_Verse_002.wav,Psalms,150,002,6.24,SPEAKER_00,-0.2264684426710639,160,110,False,False,False,False
00006,JDG_019_Verse_001.wav,Judges,019,001,11.16,SPEAKER_00,-0.1150876725856288,680,110,True,True,False,False
00007,2TH_002_Verse_003.wav,2 Thessalonians,002,003,12.5,SPEAKER_00,-0.0380337506363946,270,110,False,False,False,False
00008,LEV_025_Verse_003.wav,Leviticus,025,003,8.31,SPEAKER_00,-0.2105897791671491,250,200,False,False,False,False
00009,GAL_001_Verse_006.wav,Galatians,001,006,7.68,SPEAKER_00,0.1530512183607892,320,120,False,True,False,False
00010,LUK_014_Verse_004.wav,Luke,014,004,6.62,SPEAKER_00,-0.1686509943107434,290,200,False,False,False,False
00011,GEN_037_Verse_004.wav,Genesis,037,004,9.62,SPEAKER_00,0.096890680285302,210,120,False,False,False,False
00012,COL_001_Verse_005.wav,Colossians,001,005,8.54,SPEAKER_00,0.1613532109458594,220,140,False,False,False,False
00013,1TH_002_Verse_002.wav,1 Thessalonians,002,002,11.37,SPEAKER_00,0.014684675276259,120,100,False,False,False,False
00014,PSA_027_Verse_002.wav,Psalms,027,002,8.14,SPEAKER_00,-0.0768501147642747,200,120,False,False,False,False
00015,PRO_028_Verse_006.wav,Proverbs,028,006,5.94,SPEAKER_00,0.2210675431541493,280,100,False,False,False,False
00016,2TI_002_Verse_002.wav,2 Timothy,002,002,8.57,SPEAKER_00,0.1987121775786846,210,150,False,False,False,False
00017,ISA_038_Verse_001.wav,Isaiah,038,001,13.39,SPEAKER_00,0.1698318416710422,480,300,True,True,False,False
00018,MRK_001_Verse_002.wav,Mark,001,002,7.42,SPEAKER_00,-0.2067017936589896,260,250,False,False,False,False
00019,1CO_003_Verse_002.wav,1 Corinthians,003,002,8.96,SPEAKER_00,0.0693775923065225,140,170,False,False,False,False
00020,PSA_126_Verse_005.wav,Psalms,126,005,3.72,SPEAKER_00,0.0152068131746916,220,100,False,False,False,False
00021,GEN_002_Verse_002.wav,Genesis,002,002,7.92,SPEAKER_00,0.1889517268367743,210,150,False,False,False,False
00022,MAT_019_Verse_002.wav,Matthew,019,002,4.07,SPEAKER_00,0.1967459161769574,170,210,False,False,False,False
00023,REV_006_Verse_003.wav,Revelation,006,003,7.16,SPEAKER_00,0.0163125169596059,150,170,False,False,False,False
00024,PSA_046_Verse_002.wav,Psalms,046,002,6.28,SPEAKER_00,0.190787548292934,230,170,False,False,False,False
00025,LUK_001_Verse_005.wav,Luke,001,005,11.5,SPEAKER_00,0.005235252821707,280,240,False,True,False,False
