task_uid,filename,book,chapter,verse,duration_seconds,speaker_id,lens_ratio_z,is_first_verse,heading_before,heading_after,is_verse_range
00000,JOB_003_Verse_006.wav,Job,003,006,7.51,SPEAKER_00,0.2030674037522482,False,False,False,False
00001,JER_025_Verse_024.wav,Jeremiah,025,024,5.4,SPEAKER_00,-0.0087027461184822,False,False,False,False
00002,GEN_042_Verse_009.wav,Genesis,042,009,7.96,SPEAKER_00,0.1458282327228546,False,False,False,False
00003,EXO_029_Verse_018.wav,Exodus,029,018,8.95,SPEAKER_00,0.0793504975649006,False,False,False,False
00004,2KI_005_Verse_008.wav,2 Kings,005,008,13.73,SPEAKER_00,0.1683988424120273,False,False,False,False
00005,PSA_082_Verse_003.wav,Psalms,082,003,5.06,SPEAKER_00,0.1633193509946976,False,False,False,False
00006,JOB_003_Verse_024.wav,Job,003,024,4.95,SPEAKER_00,-0.1065131442965554,False,False,False,False
00007,ACT_023_Verse_002.wav,Acts,023,002,4.36,SPEAKER_00,0.1438509169910021,False,False,False,False
00008,JOS_017_Verse_015.wav,Joshua,017,015,10.04,SPEAKER_00,-0.0185714466969955,False,False,False,False
00009,EZK_048_Verse_030.wav,Ezekiel,048,030,5.44,SPEAKER_00,-0.0721708267140312,False,False,False,False
00010,LEV_006_Verse_021.wav,Leviticus,006,021,9.83,SPEAKER_00,0.0605668623237136,False,False,False,False
00011,ISA_029_Verse_014.wav,Isaiah,029,014,14.52,SPEAKER_00,0.0156751554579739,False,False,False,False
00012,EXO_035_Verse_034.wav,Exodus,035,034,6.34,SPEAKER_00,-0.1712311895888492,False,False,False,False
00013,1KI_022_Verse_008.wav,1 Kings,022,008,17.24,SPEAKER_00,-0.0466904171694608,False,False,False,False
00014,MIC_001_Verse_008.wav,Micah,001,008,9.28,SPEAKER_00,0.1523356673329104,False,False,False,False
00015,MAT_024_Verse_013.wav,Matthew,024,013,2.68,SPEAKER_00,0.056392721159003,False,False,False,False
00016,AMO_009_Verse_011.wav,Amos,009,011,11.58,SPEAKER_00,0.1680197537433767,False,False,False,False
00017,JHN_020_Verse_017.wav,John,020,017,13.8,SPEAKER_00,0.1068998292519827,False,False,False,False
00018,LUK_011_Verse_015.wav,Luke,011,015,6.35,SPEAKER_00,-0.1521811198052297,False,False,False,False
00019,1CH_002_Verse_041.wav,1 Chronicles,002,041,4.7,SPEAKER_00,0.1279669652479841,False,False,False,False
00020,PRO_012_Verse_018.wav,Proverbs,012,018,6.0,SPEAKER_00,-0.0396125256293032,False,False,False,False
00021,GEN_019_Verse_028.wav,Genesis,019,028,6.38,SPEAKER_00,-0.0950309104543736,False,False,False,False
00022,LEV_010_Verse_014.wav,Leviticus,010,014,14.74,SPEAKER_00,0.0277755859181623,False,False,False,False
00023,REV_009_Verse_009.wav,Revelation,009,009,9.34,SPEAKER_00,-0.0408007847929794,False,False,False,False
00024,NUM_016_Verse_014.wav,Numbers,016,014,10.08,SPEAKER_00,0.1142588973053804,False,False,False,False
00025,JOS_023_Verse_006.wav,Joshua,023,006,9.74,SPEAKER_00,0.1208698804266367,False,False,False,False
00026,JOS_011_Verse_021.wav,Joshua,011,021,15.28,SPEAKER_00,0.1320183375549065,False,False,False,False
00027,HEB_011_Verse_030.wav,Hebrews,011,030,7.16,SPEAKER_00,-0.153259425642039,False,False,False,False
00028,JER_002_Verse_006.wav,Jeremiah,002,006,14.0,SPEAKER_00,-0.1961428193058883,False,False,False,False
00029,NUM_018_Verse_012.wav,Numbers,018,012,7.66,SPEAKER_00,-0.0018216404416692,False,False,False,False
00030,PSA_145_Verse_020.wav,Psalms,145,020,4.7,SPEAKER_00,0.1279669652479841,False,False,False,False
00031,MAT_003_Verse_008.wav,Matthew,003,008,2.78,SPEAKER_00,0.1964351572349872,False,False,False,False
00032,LEV_008_Verse_010.wav,Leviticus,008,010,5.23,SPEAKER_00,-0.0861243843217728,False,False,False,False
00033,PSA_048_Verse_007.wav,Psalms,048,007,3.39,SPEAKER_00,0.1397903578988,False,False,False,False
00034,EXO_036_Verse_008.wav,Exodus,036,008,12.46,SPEAKER_00,0.2159428543932982,False,False,False,False
00035,ROM_006_Verse_014.wav,Romans,006,014,6.78,SPEAKER_00,0.1397903578988,False,False,False,False
00036,REV_004_Verse_008.wav,Revelation,004,008,14.8,SPEAKER_00,0.0777487922342603,False,False,False,False
00037,1JN_004_Verse_007.wav,1 John,004,007,7.72,SPEAKER_00,-0.0151217681761881,False,False,False,False
00038,JOB_031_Verse_013.wav,Job,031,013,5.67,SPEAKER_00,-0.0160764043632337,False,False,False,False
00039,MAT_019_Verse_020.wav,Matthew,019,020,6.27,SPEAKER_00,0.0891895445960017,False,False,False,False
00040,2KI_013_Verse_007.wav,2 Kings,013,007,11.94,SPEAKER_00,-0.1006593401631707,False,False,False,False
00041,LEV_018_Verse_022.wav,Leviticus,018,022,4.93,SPEAKER_00,0.1850856086174247,False,False,False,False
00042,2KI_018_Verse_022.wav,2 Kings,018,022,14.1,SPEAKER_00,-0.0514090115295667,False,False,False,False
00043,ACT_021_Verse_031.wav,Acts,021,031,6.94,SPEAKER_00,-0.0651484480486982,False,False,False,False
00044,EZK_042_Verse_005.wav,Ezekiel,042,005,6.18,SPEAKER_00,-0.087913301963791,False,False,False,False
00045,EZK_044_Verse_006.wav,Ezekiel,044,006,7.29,SPEAKER_00,-0.1617061546970382,False,False,False,False
